Codigo	Nombre	Tipo	Naturaleza	Descripcion	EsDetalle	TipoEstado
8108	OTROS (DETALLAR EN NOTAS)	expense	debit	OTROS (DETALLAR EN NOTAS)	1	2
82	RESULTADO INTEGRAL TOTAL DEL AÑO --> Subtotal I (H + 81)	expense	debit	RESULTADO INTEGRAL TOTAL DEL AÑO --> Subtotal I (H + 81)	0	2
8201	PROPIETARIOS DE LA CONTROLADORA	expense	debit	PROPIETARIOS DE LA CONTROLADORA	1	2
8202	PARTICIPACIÓN NO CONTROLADORA (informativo)	expense	debit	PARTICIPACIÓN NO CONTROLADORA (informativo)	1	2
90	GANANCIA POR ACCIÓN (SOLO EMPRESAS QUE COTIZAN EN BOLSA)	expense	debit	GANANCIA POR ACCIÓN (SOLO EMPRESAS QUE COTIZAN EN BOLSA)	0	2
9001	GANANCIA POR ACCIÓN BÁSICA	expense	debit	GANANCIA POR ACCIÓN BÁSICA	0	2
900101	GANANCIA POR ACCIÓN BÁSICA EN OPERACIONES CONTINUADAS	expense	debit	GANANCIA POR ACCIÓN BÁSICA EN OPERACIONES CONTINUADAS	1	2
900102	GANANCIA POR ACCIÓN BÁSICA EN OPERACIONES DISCONTINUADAS	expense	debit	GANANCIA POR ACCIÓN BÁSICA EN OPERACIONES DISCONTINUADAS	1	2
9002	GANANCIA POR ACCIÓN DILUÍDA	expense	debit	GANANCIA POR ACCIÓN DILUÍDA	0	2
900201	GANANCIA POR ACCIÓN DILUÍDA EN OPERACIONES CONTINUADAS	expense	debit	GANANCIA POR ACCIÓN DILUÍDA EN OPERACIONES CONTINUADAS	1	2
900202	GANANCIA POR ACCIÓN DILUÍDA EN OPERACIONES DISCONTINUADAS	expense	debit	GANANCIA POR ACCIÓN DILUÍDA EN OPERACIONES DISCONTINUADAS	1	2
91	UTILIDAD A REINVERTIR (INFORMATIVO)	expense	debit	UTILIDAD A REINVERTIR (INFORMATIVO)	1	2
